id,title,link,category,date_posted,closing_date,organization,Full Description
639,W6898-250746 - Pressure Vessel Maintenance - CFB Gagetown,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5016051568-doc5017328674,Services,"2025/02/26
Amended",2025/03/11,Department of National Defence (DND),"Real Property Operations Unit Atlantic Detachment Gagetown requires the furnishing of all supervision, labour, material, tools and equipment required to provide inspections, maintenance and repairs on Pressure Vessels located in 5 CSDB Gagetown. All inquiries of a technical nature and all questions of a contractual nature are to be submitted to the Contracting Authority: Dylon.Leonard@tpsgc-pwgsc.gc.ca."
640,Vessels Reactors,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-970-79186953,Goods,"2025/03/10
Amended",2025/03/25,National Research Council Canada,"The National Research Council Canada (NRC) has a requirement for the supply and delivery of reactors vessels capable of a variety of laboratory synthesis procedures performed under pressure at elevated temperatures, including hydrothermal and solvothermal synthetic processes. These must be accompanied by all necessary accessories, consumables, and software. The requirement must meet all the following technical requirements as specified below."
641,Request for Supply Arrangement - Vessel Charters,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-7678-41616716,Services,"2024/06/24
Amended",2029/12/31,Department of Fisheries and Oceans,"This bid solicitation cancels and supersedes previous bid solicitation number 30000316a dated March 31, 2022 with a closing of December 31, 2029 at 14 :00 Atlantic Time.
Summary
The purpose of this Request for Supply Arrangement (RFSA) is to establish a list of pre-qualified vessels and vessel charters capable of performing at-sea projects / missions as they relate to different ocean science operations (e.g. oceanography, marine mammal studies, hydrography, etc.) and fisheries science (e.g., stock assessment, biodiversity, habitat management, etc.). The projects / missions at-sea will vary in requirements as they relate to different ocean and fishery operations. The requirements for vessel and vessel charters will also vary depending on the location of the projects / mission(s) (e.g. Atlantic, Pacific, Inland and Arctic regions) including both near-shore and offshore missions within Canadian waters as the need arises.
Bidders may submit bids ONLY during the following months:
- February 2024
- July 2024
- February 2025
- July 2025
- February 2026
- July 2026"
642,FABRICATION AND INSTALLATION OF COMMUNITY SIGNS,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/onrefad2c07f7-7487-4f2e-960b-487c56af13fb,Construction,"2024/10/23
Amended",2024/10/23,Town Of Whitchurch-Stouffville,"The Town of Whitchurch-Stouffville (the “Town”) is soliciting Bids from qualified Contractors to fabricate and install community information, gateway, and Park information signs.
The Specifications and Scope of Work (collectively, the “Work”) for this project are as set out in this Request for Tender (RFT), as may be amended by addendum issued by the Town.
 "
643,Hydrographic Survey Vessels,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/pw-mc-047-29443,Goods,"2025/03/10
Amended",2025/03/13,Fisheries and Oceans Canada,"Trade Agreement: Canadian Free Trade Agreement (CFTA)
Tendering Procedures: Suppliers on permanent list or able to meet qualification requirements
Competitive Procurement Strategy: Best Overall  Proposal
Comprehensive Land Claim Agreement: No
Nature of Requirements: 

1. This Notice of Proposed Procurement (NPP) is issued pursuant to PWGSC Supply Arrangement (SA) # E60MC-190001 and covers a requirement under the SA for the following Stream:
• Stream #11 Aluminum boat, greater than 6m in length.

2. The Department of Department Of Fisheries and Oceans (DFO) has a requirement to purchase as five (5) 6.01-6.71 Hydrographic Survey Vessels and Trailers as well as two (2) 7.62-8.23m Hydrographic Survey Vessels for delivery to various locations in Canada.

3.  It is requested that all  boats and trailers be delivered no later than 22 months after contract award. 

4. There are requirement for an additional optional quantities of two (2) 6.01-6.71 Hydrographic Survey Vessels and Trailers as well as one (1) 7.62-8.23m Hydrographic Survey Vessel. 

5. There is no security associated with this requirement.

6. Canada retains the right to negotiate with suppliers on any procurement.

7. Documents may be submitted in either official language of Canada.

8. Bidders may request a debriefing on the results of the bid solicitation process. Bidders should make the request to the Contracting Authority within 15 working days from receipt of the results of the bid solicitation process. The debriefing may be in writing, by telephone or in person.

9. In order for new suppliers to bid on this solicitation, the new supplier must first qualify for a Supply Arrangement. The process to qualify for a SA is detailed in RFSA # E60MC-190001 and can be found on the Government Electronic Tendering Service (GETS - https://canadabuys.canada.ca/en/tender-opportunities).

10. SOLICITATION DOCUMENTS WILL ONLY BE SENT TO SUPPLIERS HOLDING A SUPPLY ARRANGEMENT.

11. Canada is not required to delay the award of a resulting contract pending the evaluation of an arrangement and issuance of a SA by the PWGSC Supply Arrangement Authority.

Delivery Date: Above-mentioned

The Crown retains the right to negotiate with suppliers on any procurement.

Documents may be submitted in either official language of Canada."
644,"K3D33-241167 – NISO Vessel Charter, Atlantic and Pacific Coast",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5031943525-doc5031986071,Services,"2025/03/11
Amended",2025/03/20,Department of the Environment (ECCC ),"Canada has a requirement for a National Individual Standing Offer to provide ship services for select 3M buoys in the Environment and Climate Change Canada Moored Buoy core program and OPP program on the Atlantic Coast and Paciﬁc Coast of Canada. Such services shall include but are not limited to provision of ships needed for the deployment, retrieval, and maintenance of a select number of 3M Discus Meteorological Buoys in the Atlantic and Paciﬁc Ocean on an “as and when requested” basis upon demand of the Authority for the period of April 1, 2025 to March 31, 2026, with the option to extend for three additional one year periods to the department of Environment and Climate Change Canada."
645,F7044-200268 - RFSA Refresh for In-Water Vessel Cleaning with Capture,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5004253210-doc5004373642,Services,2025/02/03,2026/01/30,Canadian Coast Guard (CCG),"To maximize the performance of Canada’s vessels and preserve the marine environment by reducing the spread of aquatic invasive species, Public Works and Government Services Canada (PWGSC) is seeking suppliers capable of providing in water vessel cleaning with capture services, for various Government of Canada departments and agencies on an as and when requested basis. This Request for Supply Arrangements (RFSA) will establish a List of Qualified Contractors by streams based on the equipment proposed and the vessel coating."
646,Fabrication et gravure de plaques d’identification,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/qc20033854,Services related to goods,2024/12/03,2025/01/16,Ministère de la Culture et des…,"Dans le cadre du présent appel d’offres, le prestataire de services doit effectuer la fabrication et la gravure de plaques d'identification pour des oeuvres créées dans le cadre de la Politique d'intégration. Le prestataire de services doit, tout d’abord, fabriquer les plaques d’identification. Trois types de plaques d’identification sont requis par le MCC. Ceux-ci sont : • Plaque d'identification murale de petit format dont les dimensions sont de 7 pouces par 5 pouces; • Plaque d'identification murale de grand format dont les dimensions sont de 10 pouces par 7 pouces; • Plaque d'identification de grand format, dont les dimensions sont de 10 pouces par 7 pouces, fixée sur un socle; Le prestataire de services doit, ensuite, graver les informations concernant chaque oeuvre sur chaque plaque d’identification. Ces informations sont : • La signature visuelle de la Politique d'intégration; • Le drapeau du Gouvernement du Québec; • Le nom de l'artiste; • Le titre de l'oeuvre;  • L'année de réalisation; • Une description de l’oeuvre."
647,Metal Fabrication Services – Park Fixtures,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/bc1220-060-2025-002,,2025/03/07,2025/03/27,City of Surrey,"REQUEST FOR APPLICATIONS FOR STANDING OFFER AGREEMENT

SPECIFICATIONS OF GOODS AND SCOPE OF SERVICES

The City is seeking experienced and qualified Applicants with proven ability to perform metal fabrication and related services of park fixtures (the “Goods and Services”) for a wide variety of small to large-scale projects at various locations within the City on an “as and when” required basis. The Goods and Services include without limitation the supply and delivery of material, the provision of all labour, products, tools, construction machinery and equipment, transportation, and other facilities and services necessary to prepare, fabricate and provide the Goods and perform the Services and other requirements in accordance with attached specifications and sections.

The metal fabricating services may include, but are not limited to:

Prepare, fabricate and erect structural and non-structural metal components to the City of Surrey standards and specifications. Typical works would include custom barrier gates, bollards, picnic tables, picnic shelters, and signage posts and kiosks. Schedule A-1 - Sample Park Construction Standards includes sample drawings and specifications.

ADDENDA

If the City determines that an amendment is required to this RFA-SOA, the City Representative will issue a written addendum by posting it on the BC Bid website at (the “BC Bid Website”) and the City website at (the “City Website”) that will form part of this RFA-SOA. It is the responsibility of Applicants to check the BC Bid Website and the City Website for addenda. The only way this RFA-SOA may be added to, or amended in any way, is by a formal written addendum. No other communication, whether written or oral, from any person will affect or modify the terms of this RFA-SOA or may be relied upon by any Applicant. By delivery of an Application, Applicant is deemed to have received, accepted and understood the entire RFA-SOA including, any and all addenda.

All inquiries related to this RFA-SOA should be directed in writing to ."
648,Image Sensors Fabrication Services,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/onref27a83e89-de1a-42b1-98ed-0b9764e42cbe,"Services, Goods",,2025/03/14,University Of Toronto,https://utoronto.bonfirehub.ca/opportunities/90010
